#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
154	Grp1	154	技術系（システム・ネットワーク）	154	154	Ajax		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	Ajax		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Ajax
155	Grp1	155	技術系（システム・ネットワーク）	155	155	AngularJS		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	AngularJS		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	AngularJS
156	Grp1	156	技術系（システム・ネットワーク）	156	156	Apache Cordova		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	Apache Cordova		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Apache Cordova
157		0		157	0	Apache Spark	対象外	-			Apache Spark		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Apache Spark
158	Grp1	158	技術系（システム・ネットワーク）	158	158	Apache Struts		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	Apache Struts		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Apache Struts
159		0		159	0	ASP.NET	対象外	-			ASP.NET		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	ASP.NET
160		0		160	0	Backbone.js	対象外	-			Backbone.js		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Backbone.js
161		0		161	0	Bootstrap	対象外	-			Bootstrap		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Bootstrap
162		0		162	0	CakePHP	対象外	-			CakePHP		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	CakePHP
163		0		163	0	Camping	対象外	-			Camping		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Camping
164		0		164	0	Catalyst	対象外	-			Catalyst		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Catalyst
165		0		165	0	cocos2d	対象外	-			cocos2d		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	cocos2d
166		0		166	0	CodeIgniter	対象外	-			CodeIgniter		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	CodeIgniter
167		0		167	0	ColdFusion	対象外	-			ColdFusion		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	ColdFusion
168		0		168	0	D3	対象外	-			D3		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	D3
169		0		169	0	DBFlute	対象外	-			DBFlute		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	DBFlute
170		0		170	0	Django	対象外	-			Django		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Django
171		0		171	0	Echo	対象外	-			Echo		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Echo
172		0		172	0	Ember.js	対象外	-			Ember.js		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Ember.js
173		0		173	0	Ethna	対象外	-			Ethna		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Ethna
174		0		174	0	Flask	対象外	-			Flask		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Flask
175		0		175	0	FuelPHP	対象外	-			FuelPHP		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	FuelPHP
176		0		176	0	Gin	対象外	-			Gin		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Gin
177		0		177	0	Hibernate	対象外	-			Hibernate		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Hibernate
178		0		178	0	iBATIS/MyBatis	対象外	-			iBATIS/MyBatis		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	iBATIS/MyBatis
179		0		179	0	JavaServer Faces	対象外	-			JavaServer Faces		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	JavaServer Faces
180	Grp1	180	技術系（システム・ネットワーク）	180	180	jQuery		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	jQuery		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	jQuery
181		0		181	0	Knockout.js	対象外	-			Knockout.js		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Knockout.js
182		0		182	0	Laravel	対象外	-			Laravel		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Laravel
183		0		183	0	Mojolicious	対象外	-			Mojolicious		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Mojolicious
184		0		184	0	ODBC	対象外	-			ODBC		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	ODBC
185		0		185	0	OpenGL	対象外	-			OpenGL		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	OpenGL
186		0		186	0	Phalcon	対象外	-			Phalcon		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Phalcon
187		0		187	0	Play Framework	対象外	-			Play Framework		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Play Framework
